complaint,department
Online shopping fraud complaint,Cyber Crime
Restaurant food quality very bad,Food Safety
Land document verification pending,Land & Revenue
Vehicle registration certificate delay,RTO / Transport
Mobile tower radiation concern,Telecom / Network
Construction noise disturbing residents,Environment
Water meter reading is incorrect,Water Supply
Electricity pole damaged in storm,Electricity
Garbage bin overflowing,Sanitation & Solid Waste
Manhole on road is open,Sewerage & Drainage
Road repair work needed urgently,Roads & Potholes
Street light always off at night,Streetlights
Illegal parking blocking entrance,Traffic
Theft of vehicle complaint,Police
Credit card fraud online,Cyber Crime
Hospital bed not available,Public Health
Expired medicines in medical store,Food Safety
Teacher shortage in school,Education
Birth certificate not issued,Land & Revenue
Ration card name correction needed,Ration Card / PDS
Driving license not received,RTO / Transport
No mobile network coverage,Telecom / Network
Factory smoke pollution,Environment
Contaminated drinking water,Water Supply
Transformer oil leaking,Electricity
Dead animal on street,Sanitation & Solid Waste
Sewer gas smell in area,Sewerage & Drainage
Speed breaker too high,Roads & Potholes
Street light pole fallen,Streetlights
Traffic signal timing wrong,Traffic
Harassment by neighbor,Police
Phishing email received,Cyber Crime
Ambulance service delayed,Public Health
Street food causing illness,Food Safety
School toilet not working,Education
Property tax assessment wrong,Land & Revenue
PDS rice quality poor,Ration Card / PDS
Vehicle fitness test pending,RTO / Transport
Broadband internet not working,Telecom / Network
Tree cutting without permission,Environment
Borewell water contaminated,Water Supply
Electric meter box damaged,Electricity
Waste segregation not done,Sanitation & Solid Waste
Drainage pipe broken,Sewerage & Drainage
Footpath encroached by vendors,Roads & Potholes
Public area needs street lights,Streetlights
Wrong way driving problem,Traffic
Missing person report,Police
ATM fraud complaint,Cyber Crime
Government hospital overcrowded,Public Health
Food adulteration in shop,Food Safety
Mid day meal not provided,Education
Caste certificate delayed,Land & Revenue
Ration dealer misbehaving,Ration Card / PDS
License test appointment issue,RTO / Transport
Call drop problem daily,Telecom / Network
Noise pollution from factory,Environment
Water pipeline leaking underground,Water Supply
Power supply unstable,Electricity
Garbage burning in open,Sanitation & Solid Waste
Storm drain needs cleaning,Sewerage & Drainage
Road cave in after rain,Roads & Potholes
Dark street needs lighting,Streetlights
Traffic police not present,Traffic
Chain snatching incident,Police
Fake website scam,Cyber Crime
Doctor not examining properly,Public Health
Restaurant hygiene certificate fake,Food Safety
School fees refund pending,Education
Income certificate not issued,Land & Revenue
Ration quantity less than entitled,Ration Card / PDS
Vehicle pollution certificate delay,RTO / Transport
SMS not received issue,Telecom / Network
River pollution by industry,Environment
No water for 5 days,Water Supply
Electricity wire sparking,Electricity
Mosquito breeding in garbage,Sanitation & Solid Waste
Septic tank overflow,Sewerage & Drainage
Pothole caused accident,Roads & Potholes
Street light broken by storm,Streetlights
Zebra crossing faded,Traffic
Burglary in neighborhood,Police
WhatsApp scam message,Cyber Crime
Hospital staff rude behavior,Public Health
Stale food sold in canteen,Food Safety
Classroom has no fans,Education
Residence certificate pending,Land & Revenue
Kerosene not available,Ration Card / PDS
RC book not received,RTO / Transport
Network tower installation needed,Telecom / Network
Plastic waste not collected,Environment
